mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.029536008834838867,0.01449226360606264,0.003382110595703125,9.820711033593149e-05,relu,0.0001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5,0.0,0.0,0.6666666666666666,0.0,0.2333333333333333,0.2905932629027116,31,0.2222222222222222,0.5,0.36363636363636365,0.2,0.0,0.25717171717171716,0.1678854731314249,CloseSMA200
0.023088979721069335,0.002748707461358398,0.0033170700073242186,7.946393598682824e-05,relu,0.0001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,28,0.5454545454545454,0.6153846153846154,0.5714285714285714,0.9411764705882353,0.8888888888888888,0.7124666183489713,0.1677156477642745,CloseSMA200
0.02083749771118164,0.0016912383762533493,0.0032921314239501955,0.00014464699378242496,relu,0.0001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.8,1.0,0.5,0.8,0.7914285714285715,0.16303248705928122,1,0.7368421052631579,0.8421052631578947,0.8,0.9,0.7619047619047619,0.808170426065163,0.05810204937570967,CloseSMA200
0.025516033172607422,0.004157884394879246,0.003479671478271484,0.00017541972582468514,relu,0.0001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8571428571428571,0.6666666666666666,1.0,0.5,0.8,0.7647619047619048,0.17019663164715182,4,0.75,0.8,1.0,1.0,0.8421052631578947,0.8784210526315789,0.1034635643174651,CloseSMA200
0.022696924209594727,0.0015261860732017126,0.004515504837036133,0.0011021033021121132,relu,0.0001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.6666666666666666,0.0,0.36363636363636365,0.0,0.2,0.24606060606060604,0.250578027819104,CloseSMA200
0.02605280876159668,0.006044994038256936,0.0034760475158691407,0.00030221469619104376,relu,0.0001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.4666666666666666,0.4,22,0.7692307692307693,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.75,0.6247252747252747,0.11737683578764331,CloseSMA200
0.024112462997436523,0.00502641121805773,0.004319429397583008,0.0019870546744521636,relu,0.001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5,0.0,0.0,0.6666666666666666,0.0,0.2333333333333333,0.2905932629027116,31,0.2222222222222222,0.5,0.36363636363636365,0.2,0.0,0.25717171717171716,0.1678854731314249,CloseSMA200
0.03881936073303223,0.014418341215115546,0.003754281997680664,0.000769323248727107,relu,0.001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,28,0.5454545454545454,0.6153846153846154,0.5714285714285714,0.9411764705882353,0.8888888888888888,0.7124666183489713,0.1677156477642745,CloseSMA200
0.02558932304382324,0.009320278368724743,0.004981136322021485,0.0031488562923897507,relu,0.001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.8,1.0,0.5,0.8,0.7914285714285715,0.16303248705928122,1,0.7368421052631579,0.8421052631578947,0.8,0.9,0.7619047619047619,0.808170426065163,0.05810204937570967,CloseSMA200
0.05836167335510254,0.018199976861727418,0.010671567916870118,0.005212046374436103,relu,0.001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8571428571428571,0.6666666666666666,1.0,0.5,0.8,0.7647619047619048,0.17019663164715182,4,0.75,0.8,1.0,1.0,0.8421052631578947,0.8784210526315789,0.1034635643174651,CloseSMA200
0.027273273468017577,0.00798310574479093,0.0036673545837402344,0.0002556626802359781,relu,0.001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.6666666666666666,0.0,0.36363636363636365,0.0,0.2,0.24606060606060604,0.250578027819104,CloseSMA200
0.029770851135253906,0.01569544948596087,0.003701448440551758,0.0003691441874345594,relu,0.001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.4666666666666666,0.4,22,0.7692307692307693,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.75,0.6247252747252747,0.11737683578764331,CloseSMA200
0.03583192825317383,0.014745077707290572,0.006032896041870117,0.003523430612973308,relu,0.01,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5,0.0,0.0,0.6666666666666666,0.0,0.2333333333333333,0.2905932629027116,31,0.2222222222222222,0.5,0.36363636363636365,0.2,0.0,0.25717171717171716,0.1678854731314249,CloseSMA200
0.02525644302368164,0.0044682624131105134,0.006191730499267578,0.0030424117234857623,relu,0.01,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,28,0.5454545454545454,0.6153846153846154,0.5714285714285714,0.9411764705882353,0.8888888888888888,0.7124666183489713,0.1677156477642745,CloseSMA200
